index,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
0,2001,1,AK,Total Electric Power Industry,Coal (Short Tons),47615
1,2001,1,AK,Total Electric Power Industry,Petroleum (Barrels),124998
2,2001,1,AK,Total Electric Power Industry,Natural Gas (Mcf),3941267
3,2001,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),16535
4,2001,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),114198
5,2001,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),3189447
6,2001,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),22890
7,2001,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),550
8,2001,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),8190
9,2001,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1590
10,2001,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),8660
11,2001,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),751820
12,2001,1,AL,Total Electric Power Industry,Coal (Short Tons),3020601
13,2001,1,AL,Total Electric Power Industry,Petroleum (Barrels),284241
14,2001,1,AL,Total Electric Power Industry,Natural Gas (Mcf),5213844
15,2001,1,AL,Total Electric Power Industry,Other Gases (Billion BTU),357
16,2001,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),2987681
17,2001,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),174121
18,2001,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),3677044
19,2001,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
20,2001,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),13320
21,2001,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),3110
22,2001,1,AL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),50
23,2001,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),540
24,2001,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),29810
25,2001,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),110070
26,2001,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),1522940
27,2001,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),357
28,2001,1,AR,Total Electric Power Industry,Coal (Short Tons),1299773
29,2001,1,AR,Total Electric Power Industry,Petroleum (Barrels),209194
30,2001,1,AR,Total Electric Power Industry,Natural Gas (Mcf),2116520
31,2001,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),1297733
32,2001,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),198174
33,2001,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1668280
34,2001,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),2500
35,2001,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),2040
